Nummer;Bezirk;Betreiber;Auspraegung;Grundwasserleiter;Gelaendeoberkante_GOK_m_ue_NHN;Rohroberkante_m_ue_NHN;Filteroberkante_m_u_GOK;Filterunterkante_m_u_GOK;start;end;period_days;n;interval_days
5036;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);32.84;33.59;6.00;8.00;1998-04-23;2018-10-10;7475;42;178
5039;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);33.42;34.21;7.50;9.50;1998-04-23;2021-09-23;8554;46;186
5040;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);33.66;34.42;7.70;9.70;1998-05-06;2021-09-23;8541;48;178
5042;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);33.54;34.30;7.00;9.00;1995-11-23;2021-09-23;9436;53;178
5049;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);35.28;36.03;7.00;9.00;1998-05-06;2021-09-23;8541;48;178
5130;Treptow-Köpenick;Senat;GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);34.12;34.89;10.10;11.90;2005-06-09;2018-10-15;4876;28;174
10421;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);34.91;35.58;15.00;16.95;2014-12-15;2021-11-30;2542;7;363
10790;Treptow-Köpenick;Senat;GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);35.47;36.14;2.00;7.00;2014-12-09;2021-09-27;2484;8;310
15065;Treptow-Köpenick;Senat;GW-Stand + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);45.26;46.08;30.05;32.05;2005-06-07;2021-11-08;5998;34;176
15152;Treptow-Köpenick;Senat;GW-Stand + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);34.19;35.23;32.00;34.00;2005-05-24;2021-10-04;5977;34;176
15153;Treptow-Köpenick;Senat;GW-Stand + GW-Güte;Elsterzeitl. GW-Leiter (GWL 3);34.30;35.19;63.85;65.85;2005-05-24;2021-10-04;5977;34;176
15160;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Elsterzeitl. GW-Leiter (GWL 3);35.93;36.76;86.00;88.00;2012-11-23;2018-10-24;2161;10;216
15162;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Elsterzeitl. GW-Leiter (GWL 3);36.11;36.94;78.00;80.00;2012-11-23;2018-10-24;2161;10;216
15163;Treptow-Köpenick;Senat;GW-Stand, tagesaktuell + GW-Güte;Hauptgrundwasserleiter (GWL 1.3 + 2);36.14;37.12;10.00;11.95;2015-12-01;2021-10-04;2134;5;427
