Messstellennummer;Datum;Parameter;Einheit;Messwert
15065;2008-10-17;Phenanthren;µg/l;-0,01
15065;2008-10-17;Anthracen;µg/l;-0,01
15065;2008-10-17;Fluoranthen;µg/l;-0,01
15065;2008-10-17;Pyren;µg/l;-0,01
15065;2008-10-17;Benz-a-Anthracen;µg/l;-0,01
15065;2008-10-17;Chrysen;µg/l;-0,01
15065;2008-10-17;Benz-b-Fluoranthen;µg/l;-0,01
15065;2008-10-17;Benz-k-Fluoranthen;µg/l;0,00
15065;2008-10-17;Benz-a-Pyren;µg/l;0,00
15065;2008-10-17;Dibenz-a,h-Anthracen;µg/l;-0,01
15065;2008-10-17;Benz-g,h,i-Perylen;µg/l;0,00
15065;2008-10-17;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
15065;2008-10-17;Summe Na+Cl;mg/l;51,20
15065;2009-04-09;Temperatur (Luft);grd Celsius;16,00
15065;2009-04-09;pH-Wert (Feld);ohne Einheit;7,33
15065;2009-04-09;Temperatur (Wasser);grd C;11,00
15065;2009-04-09;Leitfähigkeit 25°C vor Ort;µS/cm;1041,30
15065;2009-04-09;Wasserst.(ROK) vor;m;11,52
15065;2009-04-09;Chlorid;mg/l;40,00
15065;2009-04-09;Fluorid;mg/l;0,20
15065;2009-04-09;Hydrogenkarbonat;mg/l;237,90
15065;2009-04-09;Nitrit (N);mg/l N;-0,01
15065;2009-04-09;Nitrat (N);mg/l N;-0,02
15065;2009-04-09;Ortho-Phosphat (P);mg/l P;0,03
15065;2009-04-09;Sulfat;mg/l;131,00
15065;2009-04-09;Cyanide (ges.);mg/l;-0,01
15065;2009-04-09;Bromid;mg/l;-0,10
15065;2009-04-09;Nitrit;mg/l;-0,03
15065;2009-04-09;Nitrat;mg/l;-0,09
15065;2009-04-09;Ortho-Phosphat;mg/l;0,09
15065;2009-04-09;Ammonium (N);mg/l N;0,15
15065;2009-04-09;Eisen-2;mg/l;2,66
15065;2009-04-09;Eisen (ges.);mg/l;2,77
15065;2009-04-09;Kalium;mg/l;1,80
15065;2009-04-09;Kalzium;mg/l;121,00
15065;2009-04-09;Magnesium;mg/l;14,20
15065;2009-04-09;Natrium;mg/l;12,50
15065;2009-04-09;Mangan;mg/l;0,20
15065;2009-04-09;Ammonium;mg/l;0,19
15065;2009-04-09;Leitfähigkeit /Lab. bei 25°C;µS/cm;749,00
15065;2009-04-09;UV-Adsorption (254);1/m;2,70
15065;2009-04-09;CSV (KMNO4);mg/l O2;1,40
15065;2009-04-09;Basenkap. bis 8.2;mmol/l;0,35
15065;2009-04-09;Säure-Kap. bis 4.3;mmol/l;3,90
15065;2009-04-09;Kohlenstoff (organ.);mg/l C;1,70
15065;2009-04-09;pH-Wert /Lab.;ohne Einheit;7,32
15065;2009-04-09;Gesamthärte;mmol/l;3,60
15065;2009-04-09;Karbonathärte;mmol/l;1,94
15065;2009-04-09;AOX;µg/l;-10,00
15065;2009-04-09;Phenolindex (ges.);µg/l;-10,00
15065;2009-04-09;LHKW (Summe);µg/l;-0,50
15065;2009-04-09;BTXE (Summe);µg/l;-1,00
15065;2009-04-09;Arsen;µg/l;-4,00
15065;2009-04-09;Barium;µg/l;50,50
15065;2009-04-09;Blei;µg/l;-4,00
15065;2009-04-09;Bor;µg/l;-100,00
15065;2009-04-09;Cadmium;µg/l;-0,50
15065;2009-04-09;Chrom;µg/l;-5,00
15065;2009-04-09;Kupfer;µg/l;5,60
15065;2009-04-09;Aluminium-gelöst;µg/l;6,30
15065;2009-04-09;Nickel;µg/l;-10,00
15065;2009-04-09;Quecksilber;µg/l;-0,50
15065;2009-04-09;Selen;µg/l;-5,00
15065;2009-04-09;Zink;µg/l;-10,00
15065;2009-04-09;Dichlormethan;µg/l;-0,50
15065;2009-04-09;Trichlormethan;µg/l;-0,10
15065;2009-04-09;Tetrachlormethan;µg/l;-0,10
15065;2009-04-09;1,2-Dichlorethan;µg/l;-0,50
15065;2009-04-09;cis-1,2-Dichloreth.;µg/l;-0,50
15065;2009-04-09;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
15065;2009-04-09;Trichlorethen;µg/l;-0,10
15065;2009-04-09;Tetrachlorethen;µg/l;-0,10
15065;2009-04-09;Vinylchlorid;µg/l;-0,50
15065;2009-04-09;trans-1,2-Dichloret.;µg/l;-0,50
15065;2009-04-09;Benzen;µg/l;-1,00
15065;2009-04-09;Ethylbenzen;µg/l;-1,00
15065;2009-04-09;Toluen;µg/l;-1,00
15065;2009-04-09;Xylen (meta/para);µg/l;-1,00
15065;2009-04-09;Xylen (ortho);µg/l;-1,00
15065;2009-04-09;Cumol;µg/l;-1,00
15065;2009-04-09;Naphtalin;µg/l;-0,01
15065;2009-04-09;Acenaphthylen;µg/l;-0,03
15065;2009-04-09;Acenaphthen;µg/l;-0,01
15065;2009-04-09;Fluoren;µg/l;-0,02
15065;2009-04-09;Phenanthren;µg/l;-0,01
15065;2009-04-09;Anthracen;µg/l;-0,01
15065;2009-04-09;Fluoranthen;µg/l;-0,01
15065;2009-04-09;Pyren;µg/l;-0,01
15065;2009-04-09;Benz-a-Anthracen;µg/l;0,00
15065;2009-04-09;Chrysen;µg/l;-0,01
15065;2009-04-09;Benz-b-Fluoranthen;µg/l;-0,01
15065;2009-04-09;Benz-k-Fluoranthen;µg/l;0,00
15065;2009-04-09;Benz-a-Pyren;µg/l;0,00
15065;2009-04-09;Dibenz-a,h-Anthracen;µg/l;-0,01
15065;2009-04-09;Benz-g,h,i-Perylen;µg/l;0,00
15065;2009-04-09;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
15065;2009-04-09;Summe Na+Cl;mg/l;52,50
15065;2009-10-19;Temperatur (Luft);grd Celsius;10,00
15065;2009-10-19;pH-Wert (Feld);ohne Einheit;7,34
15065;2009-10-19;Temperatur (Wasser);grd C;10,90
15065;2009-10-19;Leitfähigkeit 25°C vor Ort;µS/cm;743,90
15065;2009-10-19;Wasserst.(ROK) vor;m;11,67
15065;2009-10-19;Chlorid;mg/l;42,00
15065;2009-10-19;Fluorid;mg/l;0,20
15065;2009-10-19;Hydrogenkarbonat;mg/l;207,40
15065;2009-10-19;Nitrit (N);mg/l N;-0,01
15065;2009-10-19;Nitrat (N);mg/l N;-0,02
15065;2009-10-19;Ortho-Phosphat (P);mg/l P;-0,01
15065;2009-10-19;Sulfat;mg/l;138,00
15065;2009-10-19;Cyanide (ges.);mg/l;-0,01
15065;2009-10-19;Bromid;mg/l;0,12
15065;2009-10-19;Nitrit;mg/l;-0,03
15065;2009-10-19;Nitrat;mg/l;-0,09
15065;2009-10-19;Ortho-Phosphat;mg/l;-0,03
15065;2009-10-19;Ammonium (N);mg/l N;0,19
15065;2009-10-19;Eisen-2;mg/l;2,76
15065;2009-10-19;Eisen (ges.);mg/l;2,79
15065;2009-10-19;Kalium;mg/l;1,80
15065;2009-10-19;Kalzium;mg/l;113,00
15065;2009-10-19;Magnesium;mg/l;13,40
15065;2009-10-19;Natrium;mg/l;12,10
15065;2009-10-19;Mangan;mg/l;0,19
15065;2009-10-19;Ammonium;mg/l;0,25
15065;2009-10-19;Leitfähigkeit /Lab. bei 25°C;µS/cm;775,00
15065;2009-10-19;UV-Adsorption (254);1/m;5,40
15065;2009-10-19;CSV (KMNO4);mg/l O2;1,40
15065;2009-10-19;Basenkap. bis 8.2;mmol/l;0,32
15065;2009-10-19;Säure-Kap. bis 4.3;mmol/l;3,40
15065;2009-10-19;Kohlenstoff (organ.);mg/l C;2,10
15065;2009-10-19;pH-Wert /Lab.;ohne Einheit;7,36
15065;2009-10-19;Gesamthärte;mmol/l;3,37
15065;2009-10-19;Karbonathärte;mmol/l;1,69
15065;2009-10-19;AOX;µg/l;16,00
15065;2009-10-19;Phenolindex (ges.);µg/l;-10,00
15065;2009-10-19;LHKW (Summe);µg/l;-0,50
15065;2009-10-19;BTXE (Summe);µg/l;-1,00
15065;2009-10-19;Arsen;µg/l;-4,00
15065;2009-10-19;Barium;µg/l;45,50
15065;2009-10-19;Blei;µg/l;-4,00
15065;2009-10-19;Bor;µg/l;-100,00
15065;2009-10-19;Cadmium;µg/l;-0,50
15065;2009-10-19;Chrom;µg/l;-5,00
15065;2009-10-19;Kupfer;µg/l;5,40
15065;2009-10-19;Aluminium-gelöst;µg/l;-5,00
15065;2009-10-19;Nickel;µg/l;-10,00
15065;2009-10-19;Quecksilber;µg/l;-0,50
15065;2009-10-19;Selen;µg/l;-5,00
15065;2009-10-19;Zink;µg/l;-10,00
15065;2009-10-19;Dichlormethan;µg/l;-0,50
15065;2009-10-19;Trichlormethan;µg/l;-0,10
15065;2009-10-19;Tetrachlormethan;µg/l;-0,10
15065;2009-10-19;1,2-Dichlorethan;µg/l;-0,50
15065;2009-10-19;cis-1,2-Dichloreth.;µg/l;-0,50
15065;2009-10-19;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
15065;2009-10-19;Trichlorethen;µg/l;-0,10
15065;2009-10-19;Tetrachlorethen;µg/l;-0,10
15065;2009-10-19;Vinylchlorid;µg/l;-0,50
15065;2009-10-19;trans-1,2-Dichloret.;µg/l;-0,50
15065;2009-10-19;Benzen;µg/l;-1,00
15065;2009-10-19;Ethylbenzen;µg/l;-1,00
15065;2009-10-19;Toluen;µg/l;-1,00
15065;2009-10-19;Xylen (meta/para);µg/l;-1,00
15065;2009-10-19;Xylen (ortho);µg/l;-1,00
15065;2009-10-19;Cumol;µg/l;-1,00
15065;2009-10-19;Naphtalin;µg/l;0,01
15065;2009-10-19;Acenaphthylen;µg/l;-0,03
15065;2009-10-19;Acenaphthen;µg/l;-0,01
15065;2009-10-19;Fluoren;µg/l;-0,02
15065;2009-10-19;Phenanthren;µg/l;-0,01
15065;2009-10-19;Anthracen;µg/l;-0,01
15065;2009-10-19;Fluoranthen;µg/l;-0,01
15065;2009-10-19;Pyren;µg/l;-0,01
15065;2009-10-19;Benz-a-Anthracen;µg/l;0,00
15065;2009-10-19;Chrysen;µg/l;-0,01
15065;2009-10-19;Benz-b-Fluoranthen;µg/l;-0,01
15065;2009-10-19;Benz-k-Fluoranthen;µg/l;0,00
15065;2009-10-19;Benz-a-Pyren;µg/l;0,00
15065;2009-10-19;Dibenz-a,h-Anthracen;µg/l;-0,01
15065;2009-10-19;Benz-g,h,i-Perylen;µg/l;0,00
15065;2009-10-19;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
15065;2009-10-19;Summe Na+Cl;mg/l;54,10
15065;2010-06-07;Temperatur (Luft);grd Celsius;20,00
15065;2010-06-07;pH-Wert (Feld);ohne Einheit;7,36
15065;2010-06-07;Temperatur (Wasser);grd C;10,80
15065;2010-06-07;Leitfähigkeit 25°C vor Ort;µS/cm;736,20
15065;2010-06-07;Wasserst.(ROK) vor;m;11,37
15065;2010-06-07;Wasserst.(ROK) nach;m;11,48
15065;2010-06-07;Entnahmeteufe (ROK);m unter ROK;14,00
15065;2010-06-07;Förderrate;l/s;0,50
15065;2010-06-07;Redox Pumpbeginn;mV;-48,00
15065;2010-06-07;O2-Gehalt Pumpbeg.;mg/l;0,09
15065;2010-06-07;Redox Pumpende;mV;-85,00
15065;2010-06-07;pH Pumpende;ohne Einheit;7,40
15065;2010-06-07;O2-Gehalt Pumpende;mg/l;0,02
15065;2010-06-07;Chlorid;mg/l;44,00
15065;2010-06-07;Fluorid;mg/l;0,20
15065;2010-06-07;Hydrogenkarbonat;mg/l;231,80
15065;2010-06-07;Nitrit (N);mg/l N;-0,01
15065;2010-06-07;Nitrat (N);mg/l N;0,06
15065;2010-06-07;Ortho-Phosphat (P);mg/l P;0,02
15065;2010-06-07;Sulfat;mg/l;149,00
15065;2010-06-07;Cyanide (ges.);mg/l;-0,01
15065;2010-06-07;Bromid;mg/l;0,13
15065;2010-06-07;Nitrit;mg/l;-0,03
15065;2010-06-07;Nitrat;mg/l;0,27
15065;2010-06-07;Ortho-Phosphat;mg/l;0,05
15065;2010-06-07;Ammonium (N);mg/l N;0,22
15065;2010-06-07;Eisen-2;mg/l;2,87
15065;2010-06-07;Eisen (ges.);mg/l;2,89
15065;2010-06-07;Kalium;mg/l;1,80
15065;2010-06-07;Kalzium;mg/l;125,20
15065;2010-06-07;Magnesium;mg/l;14,40
15065;2010-06-07;Natrium;mg/l;12,30
15065;2010-06-07;Mangan;mg/l;0,19
15065;2010-06-07;Ammonium;mg/l;0,28
15065;2010-06-07;Leitfähigkeit /Lab. bei 25°C;µS/cm;777,00
15065;2010-06-07;UV-Adsorption (254);1/m;5,50
15065;2010-06-07;CSV (KMNO4);mg/l O2;0,70
15065;2010-06-07;Basenkap. bis 8.2;mmol/l;0,37
15065;2010-06-07;Säure-Kap. bis 4.3;mmol/l;3,80
15065;2010-06-07;Kohlenstoff (organ.);mg/l C;1,70
15065;2010-06-07;pH-Wert /Lab.;ohne Einheit;7,37
15065;2010-06-07;Gesamthärte;mmol/l;3,71
15065;2010-06-07;Karbonathärte;mmol/l;1,89
15065;2010-06-07;AOX;µg/l;-10,00
15065;2010-06-07;Phenolindex (ges.);µg/l;-10,00
15065;2010-06-07;LHKW (Summe);µg/l;-0,10
15065;2010-06-07;BTXE (Summe);µg/l;-0,30
15065;2010-06-07;Arsen;µg/l;-4,00
15065;2010-06-07;Barium;µg/l;50,10
15065;2010-06-07;Blei;µg/l;-2,00
15065;2010-06-07;Bor;µg/l;-100,00
15065;2010-06-07;Cadmium;µg/l;-0,25
15065;2010-06-07;Chrom;µg/l;-2,00
15065;2010-06-07;Kupfer;µg/l;-5,00
15065;2010-06-07;Aluminium-gelöst;µg/l;-5,00
15065;2010-06-07;Nickel;µg/l;-5,00
15065;2010-06-07;Quecksilber;µg/l;-0,05
15065;2010-06-07;Selen;µg/l;-5,00
15065;2010-06-07;Zink;µg/l;-10,00
15065;2010-06-07;Dichlormethan;µg/l;-0,10
15065;2010-06-07;Trichlormethan;µg/l;-0,10
15065;2010-06-07;Tetrachlormethan;µg/l;-0,10
15065;2010-06-07;1,2-Dichlorethan;µg/l;-0,10
15065;2010-06-07;cis-1,2-Dichloreth.;µg/l;-0,10
15065;2010-06-07;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
15065;2010-06-07;Trichlorethen;µg/l;-0,10
15065;2010-06-07;Tetrachlorethen;µg/l;-0,10
15065;2010-06-07;Vinylchlorid;µg/l;-0,10
15065;2010-06-07;trans-1,2-Dichloret.;µg/l;-0,10
15065;2010-06-07;Benzen;µg/l;-0,30
15065;2010-06-07;Ethylbenzen;µg/l;-0,30
15065;2010-06-07;Toluen;µg/l;-0,30
15065;2010-06-07;Xylen (meta/para);µg/l;-0,30
15065;2010-06-07;Xylen (ortho);µg/l;-0,30
15065;2010-06-07;Cumol;µg/l;-0,30
15065;2010-06-07;Naphtalin;µg/l;-0,01
15065;2010-06-07;Acenaphthylen;µg/l;-0,03
15065;2010-06-07;Acenaphthen;µg/l;-0,01
15065;2010-06-07;Fluoren;µg/l;-0,02
15065;2010-06-07;Phenanthren;µg/l;-0,01
15065;2010-06-07;Anthracen;µg/l;0,00
15065;2010-06-07;Fluoranthen;µg/l;-0,01
15065;2010-06-07;Pyren;µg/l;-0,01
15065;2010-06-07;Benz-a-Anthracen;µg/l;0,00
15065;2010-06-07;Chrysen;µg/l;-0,01
15065;2010-06-07;Benz-b-Fluoranthen;µg/l;-0,01
15065;2010-06-07;Benz-k-Fluoranthen;µg/l;0,00
15065;2010-06-07;Benz-a-Pyren;µg/l;0,00
15065;2010-06-07;Dibenz-a,h-Anthracen;µg/l;-0,01
15065;2010-06-07;Benz-g,h,i-Perylen;µg/l;0,00
15065;2010-06-07;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
15065;2010-06-07;Summe Na+Cl;mg/l;56,30
15065;2010-11-22;Temperatur (Luft);grd Celsius;3,00
15065;2010-11-22;pH-Wert (Feld);ohne Einheit;7,34
15065;2010-11-22;Temperatur (Wasser);grd C;10,80
15065;2010-11-22;Leitfähigkeit 25°C vor Ort;µS/cm;1034,20
15065;2010-11-22;Wasserst.(ROK) vor;m;11,25
15065;2010-11-22;Wasserst.(ROK) nach;m;11,37
15065;2010-11-22;Entnahmeteufe (ROK);m unter ROK;14,00
15065;2010-11-22;Förderrate;l/s;0,50
15065;2010-11-22;Redox Pumpbeginn;mV;-8,00
15065;2010-11-22;O2-Gehalt Pumpbeg.;mg/l;0,09
15065;2010-11-22;Redox Pumpende;mV;-48,00
15065;2010-11-22;pH Pumpende;ohne Einheit;7,30
15065;2010-11-22;O2-Gehalt Pumpende;mg/l;0,05
15065;2010-11-22;Chlorid;mg/l;42,00
15065;2010-11-22;Fluorid;mg/l;0,20
15065;2010-11-22;Hydrogenkarbonat;mg/l;244,00
15065;2010-11-22;Nitrit (N);mg/l N;-0,01
15065;2010-11-22;Nitrat (N);mg/l N;0,06
15065;2010-11-22;Ortho-Phosphat (P);mg/l P;0,05
15065;2010-11-22;Sulfat;mg/l;134,00
15065;2010-11-22;Cyanide (ges.);mg/l;-0,01
15065;2010-11-22;Bromid;mg/l;-0,10
15065;2010-11-22;Nitrit;mg/l;-0,03
15065;2010-11-22;Nitrat;mg/l;0,27
15065;2010-11-22;Ortho-Phosphat;mg/l;0,16
15065;2010-11-22;Ammonium (N);mg/l N;0,16
15065;2010-11-22;Eisen-2;mg/l;2,52
15065;2010-11-22;Eisen (ges.);mg/l;2,82
15065;2010-11-22;Kalium;mg/l;1,90
15065;2010-11-22;Kalzium;mg/l;122,80
15065;2010-11-22;Magnesium;mg/l;14,30
15065;2010-11-22;Natrium;mg/l;12,80
15065;2010-11-22;Mangan;mg/l;0,19
15065;2010-11-22;Ammonium;mg/l;0,21
15065;2010-11-22;Leitfähigkeit /Lab. bei 25°C;µS/cm;756,00
15065;2010-11-22;UV-Adsorption (254);1/m;5,00
15065;2010-11-22;CSV (KMNO4);mg/l O2;1,40
15065;2010-11-22;Basenkap. bis 8.2;mmol/l;0,57
15065;2010-11-22;Säure-Kap. bis 4.3;mmol/l;4,00
15065;2010-11-22;Kohlenstoff (organ.);mg/l C;1,80
15065;2010-11-22;pH-Wert /Lab.;ohne Einheit;7,42
15065;2010-11-22;Gesamthärte;mmol/l;3,66
15065;2010-11-22;Karbonathärte;mmol/l;2,00
15065;2010-11-22;AOX;µg/l;-10,00
15065;2010-11-22;Phenolindex (ges.);µg/l;-10,00
15065;2010-11-22;LHKW (Summe);µg/l;-0,10
15065;2010-11-22;BTXE (Summe);µg/l;-0,30
15065;2010-11-22;Arsen;µg/l;-4,00
15065;2010-11-22;Barium;µg/l;42,90
15065;2010-11-22;Blei;µg/l;-2,00
15065;2010-11-22;Bor;µg/l;-100,00
15065;2010-11-22;Cadmium;µg/l;-0,25
15065;2010-11-22;Chrom;µg/l;-2,00
15065;2010-11-22;Kupfer;µg/l;-5,00
15065;2010-11-22;Aluminium-gelöst;µg/l;-5,00
15065;2010-11-22;Nickel;µg/l;-5,00
15065;2010-11-22;Quecksilber;µg/l;-0,05
15065;2010-11-22;Selen;µg/l;-5,00
15065;2010-11-22;Zink;µg/l;-10,00
15065;2010-11-22;Dichlormethan;µg/l;-0,10
15065;2010-11-22;Trichlormethan;µg/l;-0,10
15065;2010-11-22;Tetrachlormethan;µg/l;-0,10
15065;2010-11-22;1,2-Dichlorethan;µg/l;-0,10
15065;2010-11-22;cis-1,2-Dichloreth.;µg/l;-0,10
15065;2010-11-22;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
15065;2010-11-22;Trichlorethen;µg/l;-0,10
15065;2010-11-22;Tetrachlorethen;µg/l;-0,10
15065;2010-11-22;Vinylchlorid;µg/l;-0,10
15065;2010-11-22;trans-1,2-Dichloret.;µg/l;-0,10
15065;2010-11-22;Benzen;µg/l;-0,30
15065;2010-11-22;Ethylbenzen;µg/l;-0,30
15065;2010-11-22;Toluen;µg/l;-0,30
15065;2010-11-22;Xylen (meta/para);µg/l;-0,30
15065;2010-11-22;Xylen (ortho);µg/l;-0,30
15065;2010-11-22;Cumol;µg/l;-0,30
15065;2010-11-22;Naphtalin;µg/l;-0,01
15065;2010-11-22;Acenaphthylen;µg/l;-0,03
15065;2010-11-22;Acenaphthen;µg/l;-0,01
15065;2010-11-22;Fluoren;µg/l;-0,02
15065;2010-11-22;Phenanthren;µg/l;-0,01
15065;2010-11-22;Anthracen;µg/l;0,00
15065;2010-11-22;Fluoranthen;µg/l;-0,01
15065;2010-11-22;Pyren;µg/l;-0,01
15065;2010-11-22;Benz-a-Anthracen;µg/l;0,00
15065;2010-11-22;Chrysen;µg/l;-0,01
15065;2010-11-22;Benz-b-Fluoranthen;µg/l;-0,01
15065;2010-11-22;Benz-k-Fluoranthen;µg/l;0,00
15065;2010-11-22;Benz-a-Pyren;µg/l;0,00
15065;2010-11-22;Dibenz-a,h-Anthracen;µg/l;-0,01
15065;2010-11-22;Benz-g,h,i-Perylen;µg/l;0,00
15065;2010-11-22;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
15065;2010-11-22;Summe Na+Cl;mg/l;54,80
15065;2011-03-29;Temperatur (Luft);grd Celsius;1,00
15065;2011-03-29;pH-Wert (Feld);ohne Einheit;7,30
15065;2011-03-29;Temperatur (Wasser);grd C;10,70
15065;2011-03-29;Leitfähigkeit 25°C vor Ort;µS/cm;1021,70
15065;2011-03-29;Wasserst.(ROK) vor;m;10,74
15065;2011-03-29;Chlorid;mg/l;41,00
15065;2011-03-29;Fluorid;mg/l;0,30
15065;2011-03-29;Hydrogenkarbonat;mg/l;244,00
15065;2011-03-29;Nitrit (N);mg/l N;-0,01
15065;2011-03-29;Nitrat (N);mg/l N;-0,02
15065;2011-03-29;Ortho-Phosphat (P);mg/l P;0,05
15065;2011-03-29;Sulfat;mg/l;136,00
15065;2011-03-29;Cyanide (ges.);mg/l;-0,01
15065;2011-03-29;Bromid;mg/l;-0,10
15065;2011-03-29;Nitrit;mg/l;-0,03
15065;2011-03-29;Nitrat;mg/l;-0,09
15065;2011-03-29;Ortho-Phosphat;mg/l;0,16
15065;2011-03-29;Ammonium (N);mg/l N;0,16
15065;2011-03-29;Eisen-2;mg/l;2,81
15065;2011-03-29;Eisen (ges.);mg/l;2,86
15065;2011-03-29;Kalium;mg/l;1,88
15065;2011-03-29;Kalzium;mg/l;117,80
15065;2011-03-29;Magnesium;mg/l;14,60
15065;2011-03-29;Natrium;mg/l;13,10
15065;2011-03-29;Mangan;mg/l;0,19
15065;2011-03-29;Ammonium;mg/l;0,21
15065;2011-03-29;Leitfähigkeit /Lab. bei 25°C;µS/cm;744,00
15065;2011-03-29;UV-Adsorption (254);1/m;4,80
15065;2011-03-29;CSV (KMNO4);mg/l O2;1,40
15065;2011-03-29;Basenkap. bis 8.2;mmol/l;0,42
15065;2011-03-29;Säure-Kap. bis 4.3;mmol/l;4,00
15065;2011-03-29;Kohlenstoff (organ.);mg/l C;1,70
15065;2011-03-29;pH-Wert /Lab.;ohne Einheit;7,33
15065;2011-03-29;Gesamthärte;mmol/l;3,55
15065;2011-03-29;Karbonathärte;mmol/l;2,00
15065;2011-03-29;AOX;µg/l;-10,00
15065;2011-03-29;Phenolindex (ges.);µg/l;-10,00
15065;2011-03-29;LHKW (Summe);µg/l;-0,10
15065;2011-03-29;BTXE (Summe);µg/l;-0,30
15065;2011-03-29;Arsen;µg/l;-4,00
15065;2011-03-29;Barium;µg/l;47,20
15065;2011-03-29;Blei;µg/l;-2,00
15065;2011-03-29;Bor;µg/l;-100,00
15065;2011-03-29;Cadmium;µg/l;-0,15
15065;2011-03-29;Chrom;µg/l;-2,00
15065;2011-03-29;Kupfer;µg/l;-5,00
15065;2011-03-29;Aluminium-gelöst;µg/l;-5,00
15065;2011-03-29;Nickel;µg/l;-5,00
15065;2011-03-29;Quecksilber;µg/l;-0,05
15065;2011-03-29;Selen;µg/l;-2,00
15065;2011-03-29;Zink;µg/l;-10,00
15065;2011-03-29;Dichlormethan;µg/l;-0,10
15065;2011-03-29;Trichlormethan;µg/l;-0,10
15065;2011-03-29;Tetrachlormethan;µg/l;-0,10
15065;2011-03-29;1,2-Dichlorethan;µg/l;-0,10
15065;2011-03-29;cis-1,2-Dichloreth.;µg/l;-0,10
15065;2011-03-29;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
15065;2011-03-29;Trichlorethen;µg/l;-0,10
15065;2011-03-29;Tetrachlorethen;µg/l;-0,10
15065;2011-03-29;Vinylchlorid;µg/l;-0,10
15065;2011-03-29;trans-1,2-Dichloret.;µg/l;-0,10
15065;2011-03-29;Benzen;µg/l;-0,30
15065;2011-03-29;Ethylbenzen;µg/l;-0,30
15065;2011-03-29;Toluen;µg/l;-0,30
15065;2011-03-29;Xylen (meta/para);µg/l;-0,30
15065;2011-03-29;Xylen (ortho);µg/l;-0,30
15065;2011-03-29;Cumol;µg/l;-0,30
15065;2011-03-29;Naphtalin;µg/l;0,01
15065;2011-03-29;Acenaphthylen;µg/l;-0,03
15065;2011-03-29;Acenaphthen;µg/l;-0,01
15065;2011-03-29;Fluoren;µg/l;-0,02
15065;2011-03-29;Phenanthren;µg/l;-0,01
15065;2011-03-29;Anthracen;µg/l;0,00
15065;2011-03-29;Fluoranthen;µg/l;-0,01
15065;2011-03-29;Pyren;µg/l;-0,01
15065;2011-03-29;Benz-a-Anthracen;µg/l;0,00
15065;2011-03-29;Chrysen;µg/l;-0,01
15065;2011-03-29;Benz-b-Fluoranthen;µg/l;-0,01
15065;2011-03-29;Benz-k-Fluoranthen;µg/l;0,00
15065;2011-03-29;Benz-a-Pyren;µg/l;0,00
15065;2011-03-29;Dibenz-a,h-Anthracen;µg/l;-0,01
15065;2011-03-29;Benz-g,h,i-Perylen;µg/l;0,00
15065;2011-03-29;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
15065;2011-03-29;Summe Na+Cl;mg/l;54,10
15065;2011-10-04;Temperatur (Luft);grd Celsius;16,00
15065;2011-10-04;pH-Wert (Feld);ohne Einheit;7,30
15065;2011-10-04;Temperatur (Wasser);grd C;10,80
15065;2011-10-04;Leitfähigkeit 25°C vor Ort;µS/cm;990,60
15065;2011-10-04;Wasserst.(ROK) vor;m;10,89
15065;2011-10-04;Wasserst.(ROK) nach;m;11,00
15065;2011-10-04;Entnahmeteufe (ROK);m unter ROK;12,00
15065;2011-10-04;Förderrate;l/s;0,50
15065;2011-10-04;Redox Pumpbeginn;mV;6,00
15065;2011-10-04;O2-Gehalt Pumpbeg.;mg/l;0,21
15065;2011-10-04;Redox Pumpende;mV;-8,00
15065;2011-10-04;pH Pumpende;ohne Einheit;7,30
15065;2011-10-04;O2-Gehalt Pumpende;mg/l;0,03
15065;2011-10-04;Chlorid;mg/l;40,00
15065;2011-10-04;Fluorid;mg/l;0,20
15065;2011-10-04;Hydrogenkarbonat;mg/l;237,90
15065;2011-10-04;Nitrit (N);mg/l N;-0,01
15065;2011-10-04;Nitrat (N);mg/l N;-0,02
15065;2011-10-04;Ortho-Phosphat (P);mg/l P;0,03
15065;2011-10-04;Sulfat;mg/l;120,00
15065;2011-10-04;Cyanide (ges.);mg/l;-0,01
15065;2011-10-04;Bromid;mg/l;-0,10
15065;2011-10-04;Nitrit;mg/l;-0,03
15065;2011-10-04;Nitrat;mg/l;-0,09
15065;2011-10-04;Ortho-Phosphat;mg/l;0,09
15065;2011-10-04;Ammonium (N);mg/l N;0,18
15065;2011-10-04;Eisen-2;mg/l;2,40
15065;2011-10-04;Eisen (ges.);mg/l;2,75
15065;2011-10-04;Kalium;mg/l;2,00
15065;2011-10-04;Kalzium;mg/l;118,40
15065;2011-10-04;Magnesium;mg/l;14,20
15065;2011-10-04;Natrium;mg/l;13,40
15065;2011-10-04;Mangan;mg/l;0,19
15065;2011-10-04;Ammonium;mg/l;0,23
