Messstellennummer;Datum;Parameter;Einheit;Messwert
10421;2019-06-26;Magnesium;mg/l;19,60
10421;2019-06-26;Natrium;mg/l;29,00
10421;2019-06-26;Mangan;mg/l;0,08
10421;2019-06-26;Ammonium;mg/l;0,03
10421;2019-06-26;Leitfähigkeit /Lab. bei 25°C;µS/cm;1011,00
10421;2019-06-26;UV-Adsorption (254);1/m;2,70
10421;2019-06-26;CSV (KMNO4);mg/l O2;-0,50
10421;2019-06-26;Basenkap. bis 8.2;mmol/l;0,47
10421;2019-06-26;Säure-Kap. bis 4.3;mmol/l;4,17
10421;2019-06-26;Kohlenstoff (organ.);mg/l C;1,40
10421;2019-06-26;pH-Wert /Lab.;ohne Einheit;7,20
10421;2019-06-26;Gesamthärte;mmol/l;4,73
10421;2019-06-26;Karbonathärte;mmol/l;2,09
10421;2019-06-26;AOX;µg/l;-10,00
10421;2019-06-26;Phenolindex (ges.);µg/l;-10,00
10421;2019-06-26;LHKW (Summe);µg/l;-0,10
10421;2019-06-26;BTXE (Summe);µg/l;-0,10
10421;2019-06-26;Arsen;µg/l;1,10
10421;2019-06-26;Barium;µg/l;89,00
10421;2019-06-26;Blei;µg/l;0,15
10421;2019-06-26;Bor;µg/l;23,00
10421;2019-06-26;Cadmium;µg/l;-0,03
10421;2019-06-26;Chrom;µg/l;0,10
10421;2019-06-26;Kupfer;µg/l;0,16
10421;2019-06-26;Aluminium-gelöst;µg/l;2,50
10421;2019-06-26;Molybdän;µg/l;1,00
10421;2019-06-26;Nickel;µg/l;0,15
10421;2019-06-26;Quecksilber;µg/l;-0,01
10421;2019-06-26;Selen;µg/l;-0,90
10421;2019-06-26;Zink;µg/l;2,70
10421;2019-06-26;Vanadium;µg/l;-0,10
10421;2019-06-26;Thallium;µg/l;-0,05
10421;2019-06-26;Uran;µg/l;-0,05
10421;2019-06-26;Dichlormethan;µg/l;-0,10
10421;2019-06-26;Trichlormethan;µg/l;-0,10
10421;2019-06-26;Tetrachlormethan;µg/l;-0,10
10421;2019-06-26;1,2-Dichlorethan;µg/l;-0,10
10421;2019-06-26;cis-1,2-Dichloreth.;µg/l;-0,10
10421;2019-06-26;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
10421;2019-06-26;Trichlorethen;µg/l;-0,10
10421;2019-06-26;Tetrachlorethen;µg/l;-0,10
10421;2019-06-26;Vinylchlorid;µg/l;-0,10
10421;2019-06-26;trans-1,2-Dichloret.;µg/l;-0,10
