Messstellennummer;start;end;period;n;interval
9092;1998-11-18;2017-09-27;6888;39;177
9401;2005-06-07;2021-11-01;5991;34;176
10421;2014-12-15;2021-11-30;2542;7;363
10790;2014-12-09;2021-09-27;2484;8;310
15000;2005-04-18;2021-09-29;6008;35;172
15001;2005-04-28;2021-10-13;6012;34;177
15049;2005-11-15;2021-10-14;5812;33;176
15065;2005-06-07;2021-11-08;5998;34;176
15101;2000-10-26;2021-10-14;7658;43;178
15109;2000-10-24;2021-10-11;7657;43;178
15147;2005-04-04;2021-09-27;6020;34;177
15150;2006-04-12;2021-11-24;5705;32;178
15152;2005-05-24;2021-10-04;5977;34;176
15153;2005-05-24;2021-10-04;5977;34;176
15156;2005-05-17;2021-09-29;5979;35;171
15160;2012-11-23;2018-10-24;2161;10;216
15162;2012-11-23;2018-10-24;2161;10;216
15163;2015-12-01;2021-10-04;2134;5;427
15174;2012-06-06;2019-10-07;2679;16;167
17303;2017-10-19;2021-09-27;1439;9;160
17304;2017-10-19;2021-09-27;1439;9;160
17306;2020-05-04;2021-10-05;519;4;130
17309;2019-10-08;2021-11-01;755;5;151
23701;2018-01-08;2021-11-24;1416;5;283
23703;2018-07-18;2018-07-18;0;1;0
23704;2018-07-18;2018-07-18;0;1;0
23750;2016-12-08;2021-12-07;1825;9;203
95580;2015-12-02;2021-10-20;2149;3;716
97766;2018-03-22;2021-10-19;1307;8;163
