Messstellennummer;start;end;period;n;interval
3;2020-07-01;2021-11-17;504;4;126
145;2020-06-17;2021-10-18;488;4;122
149;2005-05-11;2021-10-19;6005;33;182
282;2021-05-17;2021-11-15;182;2;91
344;2020-06-09;2021-11-03;512;4;128
358;2020-06-17;2021-10-18;488;4;122
499;2021-06-02;2021-11-30;181;2;90
580;2020-04-29;2021-11-10;560;4;140
604;2020-06-25;2021-12-02;525;4;131
645;2020-05-26;2021-11-03;526;4;132
762;2020-06-10;2021-12-02;540;4;135
775;2020-06-25;2021-12-02;525;4;131
1359;1977-12-08;2021-11-02;16035;88;182
3215;2021-11-30;2021-11-30;0;1;0
3354;2004-11-26;2021-09-27;6149;35;176
4061;1995-10-16;2021-10-12;9493;53;179
4105;1995-10-13;2021-10-12;9496;53;179
4233;1995-11-14;2021-11-22;9505;53;179
4304;1995-10-17;2021-11-02;9513;53;179
4521;1995-10-13;2021-10-12;9496;52;183
4611;1995-11-23;2021-11-22;9496;53;179
4612;1995-11-23;2021-11-22;9496;53;179
4640;2014-12-12;2021-11-03;2518;7;360
4727;1995-10-30;2021-06-09;9354;52;180
4846;1995-10-19;2021-10-12;9490;64;148
4875;1995-10-18;2021-11-22;9532;53;180
5002;1998-03-26;2021-10-14;8603;44;196
5003;1998-03-18;2021-10-11;8608;48;179
5005;1998-03-24;2021-11-15;8637;48;180
5008;1998-04-22;2021-10-14;8576;48;179
5009;1998-03-19;2021-11-15;8642;47;184
5010;1998-03-19;2019-05-13;7725;39;198
5013;1998-07-09;2021-11-15;8530;47;181
5020;2021-04-06;2021-11-01;209;2;104
5022;1998-03-18;2021-10-11;8608;48;179
5025;2009-12-17;2021-11-24;4360;25;174
5026;1998-03-17;2021-11-24;8653;48;180
5027;1998-03-24;2021-12-06;8658;48;180
5032;1995-11-23;2021-10-11;9454;52;182
5036;1998-04-23;2018-10-10;7475;42;178
5039;1998-04-23;2021-09-23;8554;46;186
5040;1998-05-06;2021-09-23;8541;48;178
5042;1995-11-23;2021-09-23;9436;53;178
5044;1998-03-23;2021-12-07;8660;48;180
5049;1998-05-06;2021-09-23;8541;48;178
5058;2005-04-29;2021-10-13;6011;34;177
5060;1998-03-23;2021-10-13;8605;48;179
5066;1998-03-25;2021-10-11;8601;48;179
5073;1998-04-08;2021-10-14;8590;48;179
5074;1998-04-16;2021-11-01;8600;48;179
5075;1998-04-15;2021-10-20;8589;48;179
5076;2021-04-07;2021-10-20;196;2;98
5078;1998-04-16;2021-11-01;8600;48;179
5086;1998-03-26;2021-10-05;8594;48;179
5090;1998-03-12;2021-12-07;8671;48;181
5095;1998-03-25;2021-11-24;8645;48;180
5097;1998-03-23;2021-12-07;8660;48;180
5130;2005-06-09;2018-10-15;4876;28;174
5138;1998-05-14;2021-11-15;8586;48;179
5140;1998-07-09;2021-10-19;8503;46;185
5150;1998-04-15;2021-12-06;8636;47;184
5155;1998-11-02;2018-11-06;7309;14;522
5207;2000-10-26;2021-11-01;7676;41;187
5255;1998-03-23;2021-12-07;8660;48;180
5297;2005-04-29;2021-11-24;6053;35;173
5306;1998-03-12;2018-05-22;7376;37;199
5351;1998-03-26;2021-10-05;8594;48;179
5355;1998-03-25;2021-11-24;8645;48;180
5366;2005-04-05;2021-09-29;6021;30;201
5404;1998-04-01;2021-10-05;8588;47;183
6010;1979-04-17;2021-12-06;15574;56;278
6014;1979-04-24;2021-12-06;15567;56;278
6016;1979-04-10;2021-11-17;15562;55;283
6017;1979-04-10;2021-11-17;15562;56;278
6020;1979-05-07;2021-11-29;15547;56;278
6023;1979-05-03;2021-11-02;15524;56;277
6026;1979-04-25;2021-11-02;15532;56;277
6028;1979-04-26;2021-11-02;15531;56;277
6038;1979-03-19;2021-11-29;15596;56;278
6047;1978-12-15;2021-11-29;15690;56;280
6056;1978-09-21;2021-11-29;15775;56;282
6058;1978-09-22;2021-11-29;15774;56;282
6063;1978-09-27;2021-10-18;15727;56;281
6066;1978-09-27;2018-11-19;14663;50;293
6067;1978-10-17;2021-10-18;15707;56;280
6069;1978-10-18;2021-10-18;15706;56;280
6075;1979-04-02;2020-06-17;15052;2;7526
6080;1978-09-26;2021-10-18;15728;56;281
6081;1978-09-25;2018-11-20;14666;19;772
6084;1978-10-26;2018-11-19;14634;47;311
6089;1978-12-12;2021-11-17;15681;57;275
6097;1979-03-28;2021-11-17;15575;55;283
6113;1978-10-31;2018-06-11;14468;49;295
6121;1978-11-21;2021-11-17;15702;56;280
6504;1998-04-02;2021-10-05;8587;48;179
6510;1998-03-17;2021-10-05;8603;48;179
6511;1998-04-01;2021-10-05;8588;47;183
6515;1998-07-07;2021-10-14;8500;48;177
6518;2005-04-29;2021-10-13;6011;34;177
6520;1998-03-23;2021-10-13;8605;48;179
6522;1998-09-17;2021-10-11;8425;47;179
6533;1998-09-17;2020-07-02;7959;43;185
6534;1998-04-16;2019-04-23;7677;38;202
6535;1998-04-15;2021-10-20;8589;48;179
6548;1998-04-02;2021-10-11;8593;48;179
6963;2005-05-13;2021-12-06;6051;34;178
7014;1984-10-24;2021-11-11;13532;54;251
7015;1984-10-24;2021-11-11;13532;54;251
7018;1984-10-26;2021-11-11;13530;54;251
7019;1984-10-31;2021-11-11;13525;54;250
7027;1984-11-08;2021-11-16;13522;54;250
7030;1984-11-02;2021-12-02;13544;54;251
7033;1988-10-03;2018-03-08;10748;2;5374
7034;1988-10-03;2018-03-08;10748;2;5374
7035;1988-10-03;2018-03-08;10748;2;5374
7039;1988-09-05;2021-11-16;12125;54;225
7042;1988-09-08;2021-09-28;12073;54;224
7044;1988-09-06;2021-11-09;12117;54;224
7045;1988-09-06;2021-11-09;12117;54;224
7057;1984-09-18;2021-11-10;13567;53;256
7062;1984-09-20;2021-11-10;13565;44;308
7063;1984-09-19;2021-11-10;13566;44;308
7064;1984-08-27;2021-11-10;13589;41;331
7072;1984-09-12;2021-11-10;13573;44;308
7078;1984-10-03;2021-12-08;13580;54;251
7079;1984-10-03;2021-12-08;13580;54;251
7081;1984-09-25;2021-12-09;13589;54;252
7084;1984-09-10;2021-12-07;13602;54;252
7086;1984-08-14;2021-11-30;13622;43;317
7098;1984-09-28;2021-11-08;13555;54;251
7108;1985-06-26;2021-11-11;13287;54;246
7109;1985-06-26;2021-11-11;13287;54;246
7111;1985-06-28;2021-11-11;13285;53;251
7121;1988-10-17;2018-03-08;10734;2;5367
7123;1985-07-11;2018-03-08;11928;2;5964
7124;1985-07-11;2018-03-08;11928;2;5964
7132;1988-10-20;2021-12-08;12102;54;224
7136;1988-11-17;2021-11-08;12044;53;227
7137;1988-11-17;2021-11-08;12044;53;227
7144;1988-11-28;2021-11-08;12033;54;223
7161;1989-08-16;2021-12-09;11803;54;219
7165;1989-08-15;2021-12-09;11804;54;219
7168;1989-08-10;2021-12-02;11802;54;219
7171;1989-08-08;2021-12-08;11810;54;219
7172;1989-08-08;2021-12-08;11810;54;219
7173;1989-08-08;2021-12-08;11810;54;219
7176;1989-09-26;2021-11-23;11746;54;218
7180;1989-08-09;2021-12-02;11803;54;219
7195;1988-09-21;2021-11-09;12102;54;224
7206;1989-10-10;2021-11-16;11725;54;217
7207;1989-10-11;2021-11-16;11724;54;217
7209;1989-10-11;2021-11-16;11724;54;217
7210;1989-08-25;2021-11-16;11771;54;218
7215;1994-12-09;2021-10-21;9813;53;185
7218;1994-12-12;2017-11-10;8369;9;930
7219;1995-06-16;2021-11-18;9652;54;179
7229;1995-06-26;2021-10-21;9614;54;178
7237;1994-12-21;2021-11-18;9829;53;185
7248;1995-05-11;2021-11-23;9693;53;183
7250;1994-11-30;2021-11-23;9855;54;182
7255;1995-06-14;2021-11-23;9659;53;182
7257;1995-06-14;2021-11-23;9659;54;179
7258;1995-06-14;2021-11-23;9659;54;179
7259;1994-12-15;2021-10-21;9807;54;182
7264;1994-12-20;2021-10-21;9802;53;185
7268;1994-12-14;2021-10-21;9808;54;182
7285;1995-11-03;2021-11-18;9512;54;176
7286;1995-11-03;2021-11-18;9512;55;173
7290;1995-11-14;2021-09-28;9450;54;175
7291;1995-11-14;2021-09-28;9450;54;175
7292;1995-12-05;2021-09-28;9429;54;175
7295;1995-12-02;2021-09-28;9432;54;175
7298;1994-12-08;2021-11-23;9847;54;182
7301;1995-12-13;2021-09-28;9421;54;174
8469;2000-10-24;2021-12-06;7713;42;184
8472;1998-07-08;2021-10-19;8504;47;181
8949;1998-05-14;2017-04-03;6899;38;182
8950;1998-07-09;2021-10-19;8503;21;405
8957;1998-07-07;2015-04-13;6124;35;175
8964;2005-06-07;2021-11-08;5998;34;176
