Nummer;Name;Gewaesser;Betreiber;Auspraegung;Flusskilometer;Pegelnullpunkt_m_NHN;Rechtswert_UTM_33_N;Hochwert_UTM_33_N
5827101;Fähre Rahnsdorf;Müggelspree;Land Berlin;DMA (US);8.51;31.78;410862;5809624
5826702;Gosener Landstraße;Gosener Graben;Land Berlin;WMA;1.00;31.78;412108;5806462
5826701;Neue Fahlenbergbrücke;Gosener Kanal;Land Berlin;DMA (US);1.00;31.81;411803;5806597
5862811;Schmöckwitz US;Zeuthener See;Land Berlin;DMA (US);11.20;31.94;408356;5803559
